Term	English	French
card_amongus_strange_traveler_description	A vagrant who recently arrived among your community. What does he want?	Un vagabond qui s'est invité parmis vous, que veut-il donc ?
card_amongus_the_thing1_name	Monstrosity	Monstruosité
card_amongus_the_thing_description	A monster who took a villager guise.	Un monstre qui a pris la place d'un villageois.
card_amongus_the_thing2_name	Aberration	Aberration
card_amongus_the_thing3_name	Horror	Horreur
card_amongus_the_thing4_name	Abomination	Abomination
card_amongus_fangeux_name	Mudling	Fangeux
card_amongus_grouillant_name	Swarmling	Grouillant
card_amongus_vermine_name	Vermin	Vermine
card_amongus_little_description	A small amalgam of flesh and animal parts miserably put together	Un petit amalgame de chairs et de morceaux d'animaux assemblé lamentablement.
card_amongus_boss_name	The Other	L'Autre
card_amongus_boss_description	The Thing, the entity responsible for all the evils that befell your community	La Chose, l'entité responsable des maux qui vous accablent
card_amongus_dummy_magic_user_name	Wizard or Mage	Sorcier ou Magicien
card_amongus_dummy_magic_user_description	You shouldn't be able to read this!	Comment pouvez vous lire ceci ?
idea_amongus_spell_status	Making a spell....	Mise au point d'un sortilège...
label_amongus_cs_thingboss_victory	Victory	Victoire
label_amongus_cs_thingboss_deaththroes	The Other seems defeated but, with a death rattle, fleshy purulent canker explode and splash your villagers with a deathly substance	L'Autre semble défaite mais, dans un râle d'agonie, des chancres charnus purulents explosent et aspergent vos villageois d'une substance délétère
label_amongus_cs_thingboss_tremble	All the Other's body start to shake, twist and wave... 	Tout le corps de l'Autre se met à trembler et à s'agiter de remous...
label_amongus_cs_hum	Uh ?	Hum?
label_amongus_cs_thingboss_death	And in a last rush of blood and flesh, the horror that is the Other explode.	Et dans un élan final l'horreur qu'est l'Autre explose.
label_amongus_cs_good	Good ridance!	Bon débarras!
label_amongus_cs_allylost	Loss of allies	Perte d''alliés
label_amongus_cs_fightertransform	The Other makes one single move and, among the fighters, all those who are infected by the Thing start transforming.	L'Autre fait un seul geste et, parmi les combattants, tous les villageois infectés par la Chose se transforment.
label_amongus_cs_villagerstranform	The villagers are transforming...	Les villageois se transforment
label_amongus_cs_ritual	A ritual ?	Un rituel ?
label_amongus_cs_ritual_text	The villager thinks he can do a ritual that will summon the entity responsible for the Thing invasion. Should he proceed?	Le villageois pense pouvoir faire un rituel qui appellera l'entité responsable de la prolifération de la chose. Doit-il le mener à bien ?
label_amongus_cs_ritual_yes	Yes, let's get this done once and for all!	Oui, qu'on en finisse une bonne fois pour toute !
label_amongus_cs_ritual_no	Eh... maybe not.	Euh...peut-être pas...
label_amongus_cs_other_speak_title_1	The Thing appears	La Chose apparait
label_amongus_cs_other_speak_text_1	"<i>What! Why? How! You dare to summon me here? Do you think that your little community is more important than any other?</i>"	"<i>Mais? Quoi ? Comment ? Vous osez m'invoquer ici ? Pensez-vous que votre petite communauté est plus importante qu'une autre ?</i>"
label_amongus_cs_other_speak_title_2	The Thing talks:	La Chose parle :
label_amongus_cs_other_speak_text_2	"<i>You are nothing, a grain of sand lost in a dune from an infinite desert. Eternally stuck in a liminal state before the true fulfilment and the apotheosis therein.</i>"	"<i>Vous n'êtes rien, un grain de sable perdu dans une dune d'un désert infini. Coincé éternellement dans état liminaire avant la vraie réalisation et l'apothéose de l'existence.</i>"
label_amongus_cs_other_speak_title_3	The Thing soliloquizes:	La Chose soliloque :
label_amongus_cs_other_speak_text_3	"<i>I gather that you think of me as the malevolence behind the infestation that besets your village. I am not. I am One, I am many, I am the Thing, I am the Other. I AM the infestation.</i>"	"<i>Vous pensez surement que suis responsable de l'infestation qui vous accable. Il n'en est rien. Je suis une, je suis l'ensemble, je suis la Chose, je suis l'Autre. Je SUIS l'infestation.</i>"
label_amongus_cs_other_speak_title_4	The Other monologues	L'Autre monologue :
label_amongus_cs_other_speak_text_4	"<i>But, I am not an enemy. I do not exist to destroy you. I came to be to save you, forever, through me, in me, as my peers, my kind.</i>"	"<i>Mais je ne suis pas une ennemie. Je ne suis pas là pour vous détruire. Je suis là pour vous sauvegarder, à jamais, à travers moi, en moi, comme mes pareils, mes semblables.</i>"
label_amongus_cs_other_speak_title_5	The Other is still going :	L'Autre continue, encore :
label_amongus_cs_other_speak_text_5	"<i>It may be that you thought yourselves replaced by monster. Far from the truth : you only join a whole greater than the sum of its parts. It is you, weak and alone, that are monster.</i>"	"<i>Vous vous pensez peut-être remplacés par des monstres, non : vous rejoignez un tout plus grand que la sommes de ses parties. C'est vous, faibles et isolés, qui êtes des monstres.</i>"
label_amongus_cs_other_speak_title_6	The Other cannot be stopped:	L'Autre est inarrétable :
label_amongus_cs_other_speak_text_6	"<i>And when one of you join me, he becomes another and more than before. He becomes important. More than a grain of sand, more than a dune, he becomes the Desert.</i>"	"<i>Et quand l'un de vous se joint à moi, il devient autre et beaucoup plus qu'il ne l'était à l'origine. Il devient important. Plus qu'un grain de sable, plus qu'une dune, il devient le désert.</i>"
label_amongus_cs_other_speak_title_7	The Other ends, finaly:	L'Autre finit, enfin :
label_amongus_cs_other_speak_text_7	"<i>Then I shall grant you a favor. We shall speed up the process: you will cease your vain existence and join the Other to actualy become as important as the whole you are a part of.</i>"	"<i>Alors, je vais vous faire une faveure. Et nous allons expédier les choses, vous cesserez votre existence vaine, et rejoindrez l'Autre, et serez enfin aussi important que le tout auquel vous appartenez.</i>"
label_amongus_cs_other_speak_answer_1	Uh ?	Heuuuu ?
label_amongus_cs_other_speak_answer_2	Ah ?	Ah ?
label_amongus_cs_other_speak_answer_3	But..	Mais !
label_amongus_cs_other_speak_answer_4	Oh ?	Oh ?
label_amongus_cs_other_speak_answer_5	Well, it's....	C'est à d- ...
label_amongus_cs_other_speak_answer_6	Mayhaps, bu-...	Peut-être, m- ...
label_amongus_cs_other_speak_answer_7	Allright, then!	Bon !
label_amongus_cs_thing_setfire_title	Fire ! 	Au feu !
label_amongus_cs_thing_setfire_text	Somebody put this building on fire. Quickly, send a villager to extinguish the flames before it's too late!	Quelqu'un à mis le feu à ce bâtiment ! Vite, envoyez un villageois éteindre les flammes avant qu'il ne soit trop tard !
label_amongus_cs_thing_reveal	This villager was a monster ! He is changing shape...	Ce villageois était un monstre ! Il se tranforme...
label_amongus_cs_thing_invasion_title	An invasion !	Une invasion !
label_amongus_cs_thing_invasion_text	A good number of villagers were monsters and they are attacking!	Un grand nombre de villageois étaient des monstres et ils attaquent !
label_amongus_cs_things_reveal_all	The villagers are changing shape...	Les villageois se transforment....
label_amongus_cs_traveler	The traveler	Le voyageur
label_amongus_cs_traveler_reward	Seemingely satisfied by your hospitality, the traveler is rewarding you !	Semble-t-il satisfait de votre hospitalité, le voyageur vous récompense !
label_amongus_cs_traveler_leave	And without a word, the strange traveler leave towards the unknown	Sans un mot le voyageur s'en va comme il est venu, vers l'inconnu.
label_amongus_cs_farwell	Farwell!	Et bon voyage !
label_amongus_cs_traveler_arrival	A strange traveler has just arrived. What's to do with him	Un étrange voyageur vient d'arriver, que faire ?
label_amongus_cs_traveler_answer_yes	He is welcome here !	Il est le bienvenu ici !
label_amongus_cs_traveler_answer_no	He shall leave, at once !	Qu'il s'en aille !
label_amongus_cs_traveler_refuse	He refuses to leave !	Il refuse de partir !
label_amongus_cs_what	What ?!	Quoi ?!
label_amongus_cs_traveler_grateful	The traveler is grateful and makes himself at home in your community.	Le voyageur exprime sa gratitude et prend ses aises dans votre communauté.
label_amongus_cs_allright	Allright.	Très bien.
label_amongus_spell_charge	<i>Currently has [charge] of [chargemax] charges.</i>	<i>A actuellement [charge] charges sur [chargemax].</i>
